,Screen Name,Tweet,Date,Compound Score,Positive Score,Negative Score,Neutral Score,Tweets Ago
132,CBSNews,"Dallas police are looking for the person who stole several guitars from Nils Lofgren, the longtime guitarist with B… https://t.co/gQQ3kSFRoD",Sat Mar 31 19:00:02 +0000 2018,0.0,0.0,0.0,1.0,33
133,CBSNews,"Rocker Ted Nugent says the Florida students calling for gun control have ""no soul"" and are ""mushy brained children""… https://t.co/APv1zhvPoJ",Sat Mar 31 18:40:02 +0000 2018,-0.5574,0.0,0.204,0.796,34
134,CBSNews,The Mormon church injects diversity into a top leadership panel by tapping the first-ever Latin American apostle an… https://t.co/dt5Y62woDD,Sat Mar 31 18:20:01 +0000 2018,0.2023,0.096,0.0,0.904,35
135,CBSNews,Want to quit Facebook? Here's how you can download your data before you go: https://t.co/w36nCXsMX0 https://t.co/8YekMub5cq,Sat Mar 31 18:00:38 +0000 2018,0.0772,0.08,0.0,0.92,36
136,CBSNews,"Trouble is brewing for coffee lovers in California, where a judge ruled that sellers must post warnings about cance… https://t.co/9Elj3hpCHH",Sat Mar 31 17:40:01 +0000 2018,-0.128,0.14,0.202,0.658,37
137,CBSNews,"Hundreds lined streets of Cambridge on Saturday to honor Stephen Hawking, breaking into applause as the hearse carr… https://t.co/fgoC2PAgy5",Sat Mar 31 17:20:02 +0000 2018,0.7184,0.261,0.0,0.739,38
138,CBSNews,"Malala Yousafzai arrived in her hometown of Mingora, Pakistan, for the first time since a Taliban militant shot her… https://t.co/lFJRlycpAW",Sat Mar 31 17:00:30 +0000 2018,0.0,0.0,0.0,1.0,39
139,CBSNews,President Trump blasts Amazon — but his campaign used it regularly for office supplies https://t.co/pbQg5fUFDN https://t.co/iMZFZieMxT,Sat Mar 31 16:41:02 +0000 2018,0.09,0.088,0.0,0.912,40
140,CBSNews,"Tiangong 1, China's defunct and reportedly out-of-control space station, is about to re-enter Earth's atmosphere --… https://t.co/f8VSyGeFN2",Sat Mar 31 16:20:01 +0000 2018,0.0,0.0,0.0,1.0,41
141,CBSNews,"Rep. Elizabeth Esty, an outspoken advocate for the #MeToo movement, says she won't step down after failing to prote… https://t.co/WwMfthR8Zn",Sat Mar 31 16:00:02 +0000 2018,-0.5106,0.0,0.148,0.852,42
